Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Avg_Days_per_DrugTest_Missing,DrugTests_THC_Positive_Missing,Prison_Offense_Missing
M,WHITE,28-32,16,False,5.0,Standard,Less than HS diploma,1,Violent/Non-Sex,Less than 1 year,2,6 or more,2,0,1,4,True,False,0,2,False,0,0,True,False,False,False,True,True,False,True,False,True,True,True,4 or more,10 or more,3 or more,3 or more,14.25925926,0.111111112,0.0,0.0,0.0,0.218181818,1.897402597,False,True,False,True,False,0,0,0
M,WHITE,43-47,17,False,10.0,Standard,At least some college,3 or more,Property,Less than 1 year,5,4,0,2,2,4,False,False,1,2,False,1,1,True,False,False,False,True,True,False,False,False,False,False,False,0,0,0,1,33.18181818,0.0,0.0,0.045454547,0.0,1.0,3.002054795,False,False,False,False,False,0,0,0
M,BLACK,23-27,6,False,10.0,Specialized,Less than HS diploma,1,Violent/Non-Sex,1-2 years,3,6 or more,2,5 or more,0,2,False,False,0,2,True,2,0,False,False,False,False,False,True,True,True,False,False,False,False,0,0,0,0,13.0,0.333333343,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,WHITE,38-42,14,False,4.0,Standard,High School Diploma,0,Drug,Less than 1 year,3,1,0,0,3,1,False,False,1,1,False,0,2 or more,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,1,233.2,0.0,0.0,0.0,0.0,0.957975986,0.626500858,False,False,False,False,False,0,0,0
M,BLACK,23-27,11,False,7.0,Specialized,High School Diploma,3 or more,Violent/Non-Sex,More than 3 years,1,0,1,0,0,0,False,True,0,0,False,0,0,False,False,False,False,False,False,True,True,False,False,False,False,2,0,0,1,155.6,0.0,0.0,0.0,0.0,0.849614396,0.469473008,False,False,False,False,False,0,0,0
M,WHITE,23-27,12,False,10.0,Specialized,High School Diploma,1,Property,More than 3 years,3,0,0,2,1,0,False,False,0,0,False,2,0,False,False,False,False,False,True,True,True,False,False,False,False,0,6,0,0,9.8,0.0,0.0,0.0,0.0,1.0,2.0,False,False,False,False,False,0,0,0
M,BLACK,18-22,8,True,10.0,Specialized,High School Diploma,0,Property,Greater than 2 to 3 years,1,1,0,1,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,4 or more,3,3 or more,1,100.1666667,0.5,0.0,0.0,0.0,0.28452579,0.607737105,False,True,False,True,False,0,0,0
M,BLACK,23-27,8,True,10.0,Specialized,High School Diploma,2,Property,1-2 years,3,1,0,2,1,1,False,True,1,0,False,0,1,False,False,False,False,False,False,True,False,False,False,False,False,0,1,0,0,21.70588235,0.117647059,0.05882353,0.0,0.0,0.639566396,0.989837398,False,True,False,True,False,0,0,0
F,WHITE,48 or older,14,False,2.0,Standard,At least some college,0,Drug,Less than 1 year,5,2,0,4,1,1,False,False,0,2,False,2,0,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,False,0,0,0
M,BLACK,28-32,16,False,5.0,Standard,Less than HS diploma,3 or more,Other,1-2 years,7,3,3 or more,1,5 or more,1,True,False,2,1,False,0,2 or more,False,False,False,False,True,True,False,False,False,False,False,False,0,6,0,0,25.5,0.0,0.0,0.0,0.0,1.0,3.0,False,True,True,False,False,0,0,1
M,BLACK,38-42,15,False,4.0,Specialized,High School Diploma,3 or more,Other,1-2 years,4,3,0,1,1,2,False,False,1,2,False,1,1,False,False,False,False,True,True,False,True,False,False,False,False,0,0,0,0,22.08333333,0.0,0.0,0.0,0.0,0.743396226,1.0,False,True,True,False,False,0,0,0
M,BLACK,23-27,3,True,10.0,Specialized,Less than HS diploma,1,Property,1-2 years,10 or more,1,1,4,1,3,False,True,2,0,False,1,1,False,False,True,False,False,True,True,True,False,False,False,False,0,9,2,2,213.4,0.400000006,0.0,0.0,0.0,0.119025305,0.342314902,False,True,True,False,False,0,0,0
M,BLACK,28-32,4,False,6.0,High,At least some college,3 or more,Property,1-2 years,6,6 or more,1,0,5 or more,5 or more,True,False,2,4 or more,True,0,2 or more,False,True,False,False,False,True,True,False,False,True,False,True,4 or more,10 or more,3 or more,2,8.574626866,0.0,0.02238806,0.007462686,0.0,0.459530026,0.317885117,False,False,False,False,False,0,0,1
M,BLACK,43-47,4,False,4.0,Standard,High School Diploma,1,Property,Less than 1 year,4,2,1,0,2,2,False,False,0,0,False,0,0,False,False,False,False,True,True,False,False,False,False,False,False,0,0,0,0,56.375,0.0,0.0,0.0,0.0,0.481152993,0.809866962,True,False,False,False,False,0,0,0
F,WHITE,28-32,17,False,6.0,High,Less than HS diploma,3 or more,Property,Less than 1 year,5,6 or more,2,0,0,4,True,False,0,2,False,0,0,False,False,False,False,False,True,False,False,False,True,False,False,0,10 or more,0,0,24.5,0.0,0.0,0.0,0.083333336,0.455782313,1.0,False,True,True,False,False,0,0,0
M,BLACK,28-32,3,False,5.0,High,Less than HS diploma,1,Drug,Less than 1 year,6,4,1,0,1,5 or more,False,False,1,1,False,0,2 or more,False,False,False,False,False,True,False,False,False,False,False,True,0,10 or more,3 or more,0,14.48387097,0.129032254,0.0,0.0,0.032258064,0.0,0.0,False,False,False,False,False,0,0,0
F,WHITE,28-32,21,False,6.0,High,Less than HS diploma,3 or more,Drug,Less than 1 year,4,0,0,0,3,1,False,False,1,0,False,0,1,False,False,False,False,False,True,True,False,False,False,False,False,0,0,0,2,76.16666667,0.0,0.0,0.0,0.0,0.63238512,1.598468271,False,True,True,False,False,0,0,0
F,WHITE,43-47,2,False,3.0,Standard,High School Diploma,3 or more,Drug,1-2 years,4,0,0,0,3,1,False,False,1,0,False,0,1,False,False,False,False,False,True,True,False,False,True,True,False,4 or more,10 or more,2,0,59.95238095,0.0,0.0,0.190476194,0.0,0.0,0.0,False,False,False,False,False,0,0,1
F,WHITE,33-37,14,True,9.0,Specialized,At least some college,1,Drug,1-2 years,2,0,0,0,2,0,False,False,1,0,False,0,2 or more,False,False,False,False,True,True,True,False,False,False,False,True,0,3,0,0,25.55555556,0.0,0.0,0.0,0.0,0.639130435,2.0,False,True,True,False,False,0,0,0
M,WHITE,43-47,14,False,4.0,Standard,Less than HS diploma,2,Drug,Greater than 2 to 3 years,1,0,0,0,1,0,False,False,0,0,False,0,0,False,False,False,False,False,True,True,False,False,False,False,False,0,10 or more,0,0,19.04347826,0.0,0.0,0.0,0.0,0.97260274,0.416952055,True,False,False,False,False,0,0,0
M,BLACK,18-22,4,True,9.0,Specialized,High School Diploma,3 or more,Property,1-2 years,4,5,1,0,4,4,False,False,0,0,False,0,1,True,False,False,False,False,True,True,False,False,False,False,False,0,6,0,0,277.6,0.200000003,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,1
M,BLACK,23-27,22,False,6.0,Standard,High School Diploma,3 or more,Other,Less than 1 year,1,0,0,0,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,74.4,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,0
M,BLACK,23-27,14,False,9.0,Specialized,Less than HS diploma,1,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,2,1,5 or more,1,2,False,False,1,3,True,2,1,False,False,False,False,False,False,True,True,False,True,False,True,0,10 or more,0,0,21.97619048,0.142857149,0.0,0.0,0.0,0.689057421,1.582881907,True,False,False,False,False,0,0,0
M,BLACK,23-27,14,False,7.0,High,Less than HS diploma,3 or more,Property,Less than 1 year,3,4,0,2,1,3,False,False,0,2,False,0,1,True,False,False,False,True,True,True,False,False,False,False,False,0,4,0,0,69.5,0.166666672,0.0,0.0,0.0,1.0,0.875899281,False,True,False,False,True,0,0,0
M,BLACK,23-27,17,True,8.0,High,Less than HS diploma,0,Violent/Non-Sex,More than 3 years,4,0,1,0,2,1,False,True,1,0,True,0,0,False,False,False,False,False,True,True,True,False,False,False,False,1,6,0,0,152.3333333,0.0,0.0,0.0,0.0,0.284463895,1.598468271,False,True,True,False,False,0,0,0
M,BLACK,28-32,19,False,6.0,High,High School Diploma,0,Drug,Less than 1 year,4,2,0,0,4,1,False,False,2,0,False,0,2 or more,False,False,False,False,True,True,True,True,False,True,False,False,0,0,0,2,93.5,0.0,0.0,0.0,0.0,1.0,1.0,False,True,True,False,False,0,0,0
M,BLACK,23-27,8,False,5.0,Specialized,High School Diploma,1,Violent/Sex,More than 3 years,1,2,0,0,0,1,False,False,0,1,False,0,0,False,False,False,False,False,False,True,True,False,True,True,False,1,0,0,2,67.5,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,38-42,7,False,3.0,Specialized,Less than HS diploma,1,Violent/Sex,Greater than 2 to 3 years,3,2,0,0,0,0,True,False,2,1,False,0,0,False,False,False,False,False,False,True,True,False,True,False,False,0,5,2,0,120.0,0.0,0.0,0.0,0.0,0.566666667,1.0,False,False,False,False,False,0,0,0
M,WHITE,23-27,10,False,6.0,High,High School Diploma,0,Property,Less than 1 year,3,3,1,1,0,2,True,False,0,0,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,11.83333333,0.0,0.0,0.0,0.0,0.774647887,1.0,False,False,False,False,False,0,0,0
M,BLACK,33-37,5,False,4.0,Standard,At least some college,2,Drug,Less than 1 year,6,0,0,0,4,1,False,True,1,1,False,0,1,True,False,False,False,False,True,True,False,False,False,False,False,0,5,1,0,66.75,0.0,0.0,0.0,0.0,1.0,3.0,False,True,False,True,False,0,0,0
M,BLACK,28-32,6,False,5.0,Specialized,High School Diploma,1,Violent/Sex,Greater than 2 to 3 years,2,0,0,1,0,0,False,False,0,1,False,1,0,False,False,False,False,False,False,False,True,True,False,False,False,0,10 or more,0,1,27.1,0.033333335,0.0,0.0,0.0,1.0,1.347785978,False,False,False,False,False,0,0,0
M,WHITE,23-27,3,True,8.0,High,High School Diploma,0,Property,Less than 1 year,3,1,1,1,0,2,False,False,0,0,False,0,0,False,False,False,False,True,True,False,False,False,True,False,False,2,6,0,2,19.33333333,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,WHITE,23-27,5,True,6.0,Specialized,High School Diploma,2,Property,More than 3 years,1,0,0,1,0,0,False,False,1,0,False,1,0,False,False,False,False,False,True,True,True,True,False,False,True,1,10 or more,0,3 or more,75.16666667,0.666666687,0.0,0.0,0.0,1.0,0.809866962,True,True,False,True,False,0,0,0
M,BLACK,23-27,9,True,7.0,High,High School Diploma,1,Property,Less than 1 year,6,1,0,1,2,3,False,True,1,1,False,0,1,False,False,True,False,False,True,False,False,False,False,False,False,0,0,0,0,23.54545455,0.0,0.0,0.0,0.0,0.548262548,1.0,False,True,True,False,False,0,0,0
M,BLACK,18-22,3,True,10.0,Specialized,At least some college,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,4,1,1,2,1,3,False,False,0,1,False,0,1,False,False,False,False,True,False,True,True,False,False,False,False,3,10 or more,3 or more,0,24.33333333,0.071428575,0.0,0.0,0.0,0.916829746,2.144324853,False,False,False,False,False,0,0,0
M,BLACK,23-27,2,False,10.0,Specialized,High School Diploma,1,Property,Greater than 2 to 3 years,2,6 or more,1,4,2,0,True,False,0,0,False,0,0,False,False,False,False,False,False,True,False,False,True,False,False,4 or more,10 or more,3 or more,0,44.28571429,0.238095239,0.0,0.0,0.0,1.0,1.570967742,False,False,False,False,False,0,0,0
M,BLACK,18-22,11,True,7.0,High,Less than HS diploma,0,Property,1-2 years,10 or more,6 or more,0,4,1,5 or more,False,False,1,1,False,1,0,True,False,False,False,False,True,True,True,False,False,False,False,0,1,3 or more,1,154.032441933,0.434935152,0.011309003,0.01149993,0.000470211,0.0,0.0,False,True,False,True,False,1,1,0
M,BLACK,23-27,16,True,6.0,High,High School Diploma,1,Violent/Non-Sex,Less than 1 year,8,6 or more,3 or more,4,0,5 or more,True,False,3 or more,4 or more,True,2,0,True,True,False,False,False,True,True,True,False,False,False,False,0,0,0,3 or more,47.5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,0,0,0
M,WHITE,23-27,7,False,6.0,High,High School Diploma,2,Property,Greater than 2 to 3 years,1,1,1,1,0,0,False,True,1,0,False,0,0,False,False,True,False,False,False,True,False,False,False,False,True,1,0,0,0,144.717429195,0.033224577,0.000106363,0.015661617,0.007030408,0.0,0.0,False,True,False,True,False,1,1,0
M,BLACK,28-32,25,False,1.0,Standard,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,True,False,2,4 or more,False,3 or more,1,False,False,False,False,True,False,False,False,True,False,False,False,1,5,3 or more,0,79.07142857,0.071428575,0.0,0.0,0.142857149,0.052393857,0.659891599,False,True,True,False,False,0,0,1
M,BLACK,23-27,8,False,5.0,Specialized,At least some college,3 or more,Property,More than 3 years,1,2,0,3,0,0,False,False,0,0,False,0,0,False,False,False,False,False,True,True,True,True,False,False,False,0,6,1,0,297.25,0.0,0.0,0.0,0.0,0.997476871,0.614381833,False,False,False,False,False,0,0,0
M,BLACK,28-32,21,False,7.0,High,At least some college,0,Property,Less than 1 year,5,2,0,3,0,1,False,False,2,1,False,3 or more,0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,0
M,BLACK,48 or older,20,False,10.0,Specialized,At least some college,0,Property,1-2 years,3,1,0,3,1,1,False,False,1,0,False,0,1,False,False,False,False,False,True,False,False,False,False,False,False,0,10 or more,3 or more,0,13.09836066,0.131147534,0.016393442,0.0,0.0,0.743429287,0.457133917,False,True,False,False,True,0,0,0
F,WHITE,43-47,24,False,4.0,Standard,High School Diploma,2,Drug,1-2 years,4,0,0,0,3,1,False,False,2,0,False,0,2 or more,False,False,False,False,True,True,True,False,False,False,False,False,0,6,0,1,133.5,0.0,0.0,0.0,0.0,1.0,0.911985019,False,False,False,False,False,0,0,0
F,WHITE,38-42,16,False,4.0,Standard,At least some college,2,Violent/Non-Sex,Greater than 2 to 3 years,2,4,1,3,0,1,False,False,0,2,False,2,0,False,False,False,False,True,True,False,False,False,False,False,False,0,0,0,0,168.782296313,0.337329898,0.008186808,0.031642164,0.033636334,0.0,0.0,False,False,False,False,False,1,1,0
M,BLACK,33-37,16,False,3.0,Standard,At least some college,3 or more,Violent/Non-Sex,Less than 1 year,4,6 or more,2,4,0,5 or more,True,False,0,4 or more,True,3 or more,0,False,True,False,False,True,False,False,True,False,False,False,False,0,0,0,1,98.275925672,0.374781617,0.02100715,0.004998528,0.004496169,0.0,0.0,False,True,True,False,False,1,1,0
M,BLACK,28-32,5,False,6.0,High,High School Diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,10 or more,6 or more,3 or more,1,3,4,True,True,0,4 or more,True,0,2 or more,False,False,True,False,False,True,True,True,False,False,False,False,0,6,0,1,116.125,0.125,0.0,0.0,0.0,0.29386437,0.393164693,False,True,True,False,False,0,0,0
M,BLACK,18-22,5,False,9.0,Specialized,Less than HS diploma,1,Other,Less than 1 year,3,0,0,3,0,1,False,True,0,0,False,2,0,False,False,True,False,False,False,False,False,False,False,True,False,0,0,3 or more,0,12.625,0.25,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
F,BLACK,33-37,12,False,1.0,Standard,At least some college,3 or more,Drug,More than 3 years,1,0,0,0,1,0,False,False,1,0,False,0,1,False,False,False,False,False,True,False,False,False,False,False,False,0,8,1,2,35.019541693,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,1,0,0
M,WHITE,48 or older,24,False,3.0,Specialized,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,7,6 or more,3 or more,0,1,5 or more,True,True,1,4 or more,True,0,0,True,False,True,False,False,True,True,True,False,False,False,False,4 or more,10 or more,0,0,28.14583333,0.0,0.0,0.0,0.0,0.618800888,0.540710585,True,False,False,False,False,0,0,0
F,BLACK,33-37,9,False,6.0,High,Less than HS diploma,3 or more,Drug,1-2 years,4,1,1,0,2,2,False,False,0,0,False,0,1,False,False,False,False,False,True,True,False,False,True,False,True,0,5,0,3 or more,14.21052632,0.0,0.0,0.0,0.0,0.955555556,2.0,False,False,False,False,False,0,0,1
M,WHITE,23-27,17,False,9.0,Specialized,High School Diploma,0,Property,Less than 1 year,3,2,0,2,2,1,False,False,2,0,False,1,0,True,False,False,False,True,True,False,False,False,False,False,False,0,6,0,0,24.8,0.06666667,0.0,0.0,0.0,1.0,3.927419355,False,True,True,False,False,0,0,0
M,BLACK,28-32,6,False,5.0,Standard,Less than HS diploma,3 or more,Violent/Non-Sex,More than 3 years,3,1,1,0,1,0,False,True,0,1,False,0,0,False,False,False,False,False,True,True,True,False,False,False,False,0,10 or more,2,0,23.11764706,0.029411765,0.0,0.0,0.0,1.0,1.394083969,False,False,False,False,False,0,0,0
M,WHITE,28-32,25,True,1.0,Standard,High School Diploma,1,Property,Greater than 2 to 3 years,10 or more,6 or more,1,5 or more,0,5 or more,False,False,2,3,False,3 or more,0,True,False,False,False,True,True,True,True,False,False,False,False,0,0,0,3 or more,80.0,0.0,0.0,0.0,0.0,0.966666667,3.0,False,True,True,False,False,0,0,0
M,BLACK,23-27,19,False,6.0,High,Less than HS diploma,1,Violent/Non-Sex,Less than 1 year,8,3,1,1,0,5 or more,False,False,1,3,False,2,0,True,False,False,False,False,True,False,False,False,True,False,False,0,10 or more,0,1,48.5,0.333333343,0.0,0.0,0.0,0.048109966,1.0,False,True,False,True,False,0,0,0
M,BLACK,23-27,3,False,8.0,Standard,Less than HS diploma,0,Property,Less than 1 year,5,1,0,3,1,2,False,False,1,1,False,2,0,False,False,False,False,False,True,False,False,False,False,False,True,0,4,3 or more,0,61.0,0.166666672,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,0,0,0
M,BLACK,23-27,14,False,6.0,High,Less than HS diploma,2,Other,1-2 years,3,2,0,1,0,4,False,True,1,1,False,0,0,False,False,True,False,False,False,True,False,False,True,True,False,2,10 or more,3 or more,3 or more,19.70731707,0.048780486,0.0,0.0,0.0,0.767326733,1.356126238,False,True,False,False,True,0,0,0
M,BLACK,23-27,22,False,9.0,Specialized,High School Diploma,0,Property,Less than 1 year,2,0,0,1,0,1,False,False,0,1,False,0,0,False,False,False,False,True,False,False,False,False,False,False,False,0,0,0,1,219.829180114,0.042417926,9.6813e-05,0.046134342,0.000397532,0.298405467,0.832004556,False,True,True,False,False,1,1,0
M,WHITE,28-32,5,False,4.0,Standard,At least some college,1,Property,Less than 1 year,3,0,0,3,0,1,False,False,1,1,False,1,1,False,False,False,False,False,True,False,True,False,True,False,True,3,0,0,2,25.3,0.100000001,0.100000001,0.100000001,0.100000001,0.0,0.0,False,True,False,True,False,0,0,0
M,BLACK,18-22,19,True,8.0,High,Less than HS diploma,0,Other,1-2 years,5,6 or more,2,1,0,5 or more,False,True,1,3,False,1,0,False,False,True,False,True,False,True,True,False,False,False,False,2,0,0,0,87.378500531,0.331356176,0.088651844,0.030153844,0.111818144,0.0,0.0,False,False,False,False,False,1,1,0
M,BLACK,18-22,20,False,8.0,High,High School Diploma,1,Property,1-2 years,3,1,0,3,0,0,False,False,1,0,False,1,0,False,False,False,False,False,False,True,True,False,False,False,False,0,0,0,1,143.933230384,0.031307955,0.031893807,0.05719109,0.008689835,0.0,0.0,False,True,True,False,False,1,1,1
F,WHITE,28-32,2,False,9.0,Specialized,At least some college,1,Property,Greater than 2 to 3 years,5,0,0,2,3,1,False,False,1,0,False,1,1,False,False,False,False,False,True,True,False,False,False,False,False,0,6,0,0,16.4375,0.0625,0.0,0.0,0.0,0.996197719,1.0,False,False,False,False,False,0,0,0
M,WHITE,23-27,22,False,1.0,Standard,High School Diploma,0,Property,1-2 years,4,3,1,2,0,1,False,False,0,3,False,0,0,False,False,False,False,False,True,False,True,False,True,True,True,4 or more,1,3 or more,0,36.64705882,0.235294119,0.0,0.117647059,0.05882353,0.09470305,0.586276083,False,True,False,True,False,0,0,0
M,BLACK,18-22,14,False,7.0,High,Less than HS diploma,1,Property,Less than 1 year,5,4,1,3,1,2,False,False,2,0,False,1,1,False,False,False,False,True,True,True,False,False,True,False,True,2,2,2,2,7.135224369,0.353339295,6.137e-06,4.4e-08,6.3978e-05,0.034638554,0.550075301,False,True,True,False,False,1,1,0
M,BLACK,28-32,2,False,5.0,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,3,6 or more,0,0,1,3,True,False,1,0,False,0,0,False,False,False,False,False,False,True,True,False,False,False,False,1,0,0,0,90.8,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,0,0,0
M,WHITE,18-22,22,False,7.0,High,At least some college,3 or more,Property,Less than 1 year,3,0,0,2,0,1,False,False,2,1,False,3 or more,0,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,44.0,0.0,0.0,0.0,0.0,1.0,2.0,False,True,True,False,False,0,0,0
M,BLACK,18-22,12,True,8.0,High,Less than HS diploma,1,Other,Less than 1 year,6,0,0,2,1,2,False,True,0,0,False,1,0,False,False,False,False,False,False,False,False,False,True,False,False,2,0,0,0,141.25,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,WHITE,23-27,12,False,7.0,High,High School Diploma,0,Drug,Less than 1 year,3,4,0,0,2,2,False,False,0,0,False,0,0,False,False,False,False,False,True,False,False,False,True,False,False,4 or more,0,0,0,144.25,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,18-22,2,False,8.0,High,At least some college,0,Property,1-2 years,4,0,0,3,0,1,False,False,2,0,False,2,0,False,False,False,False,True,False,False,True,False,True,False,False,0,0,0,0,138.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False,False,False,False,0,0,0
M,BLACK,23-27,16,False,9.0,Specialized,High School Diploma,0,Property,More than 3 years,2,2,0,1,1,0,False,False,1,0,False,1,0,False,False,False,False,False,False,True,True,True,False,False,False,0,0,0,1,367.6666667,0.0,0.0,0.0,0.0,0.358567543,0.331142339,False,True,False,False,True,0,0,0
M,BLACK,23-27,5,False,7.0,High,Less than HS diploma,0,Property,More than 3 years,2,0,0,2,0,0,False,False,0,0,False,0,0,False,False,False,False,False,True,True,True,False,False,False,False,0,3,0,0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,0,0,0
M,WHITE,28-32,15,False,5.0,Specialized,High School Diploma,0,Violent/Non-Sex,1-2 years,3,2,2,0,0,1,True,False,0,2,True,0,0,False,True,False,False,True,True,False,True,False,True,False,False,4 or more,5,0,3 or more,14.88888889,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,0
M,BLACK,23-27,7,True,6.0,Standard,High School Diploma,0,Violent/Non-Sex,More than 3 years,2,1,1,1,0,0,False,False,0,0,True,0,0,False,False,False,False,False,True,True,True,False,False,False,False,0,0,0,1,20.4,0.0,0.0,0.0,0.0,0.774509804,1.0,False,True,True,False,False,0,0,0
M,BLACK,33-37,19,False,7.0,Specialized,At least some college,3 or more,Violent/Non-Sex,More than 3 years,3,1,1,0,1,0,False,False,0,1,True,0,0,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,2,660.0,0.0,0.0,0.0,0.0,0.972727273,0.276704545,False,False,False,False,False,0,0,0
M,WHITE,48 or older,2,False,2.0,Standard,At least some college,2,Drug,Greater than 2 to 3 years,2,1,1,0,1,0,False,False,0,0,False,0,0,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,2,183.6153846,0.0,0.0,0.0,0.0,0.670297444,0.612065354,False,False,False,False,False,0,0,0
M,WHITE,28-32,17,True,7.0,High,High School Diploma,3 or more,Violent/Non-Sex,Greater than 2 to 3 years,3,6 or more,3 or more,0,2,0,True,True,0,2,True,0,0,False,False,False,False,False,False,True,True,True,False,False,False,4 or more,0,0,0,87.0,0.0,0.0,0.0,0.0,0.570881226,1.0,False,True,True,False,False,0,0,0
M,WHITE,38-42,17,False,5.0,Standard,High School Diploma,2,Property,1-2 years,7,5,0,3,1,4,False,False,1,4 or more,False,1,1,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,568.3333333,0.0,0.0,0.0,0.0,0.045747801,0.214222874,False,True,True,False,False,0,0,0
M,BLACK,23-27,21,True,9.0,Specialized,High School Diploma,0,Violent/Non-Sex,More than 3 years,2,0,1,1,0,0,False,False,0,0,False,0,0,False,False,False,False,False,False,False,True,False,True,False,False,0,0,0,2,35.64285714,0.142857149,0.0,0.0,0.0,1.0,2.927855711,False,False,False,False,False,0,0,0
M,BLACK,23-27,11,False,6.0,High,Less than HS diploma,1,Property,Less than 1 year,5,4,2,2,2,1,False,False,1,4 or more,True,2,2 or more,True,False,False,False,False,False,False,False,False,False,True,False,4 or more,0,0,1,35.9,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0,0,0
M,BLACK,18-22,20,False,6.0,Specialized,Less than HS diploma,0,Violent/Non-Sex,Less than 1 year,2,0,1,1,0,0,False,False,1,0,False,1,0,False,False,False,False,False,True,True,True,False,True,False,False,4 or more,4,0,0,30.75,0.25,0.0,0.0,0.0,0.642276423,2.0,False,True,True,False,False,0,0,0
M,BLACK,23-27,19,False,7.0,High,High School Diploma,0,Property,1-2 years,3,6 or more,0,4,1,2,False,False,0,3,False,1,0,True,False,False,False,False,True,False,False,False,False,False,False,0,2,0,0,25.21428571,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,0,0,0
M,BLACK,28-32,11,False,6.0,High,High School Diploma,3 or more,Property,1-2 years,6,2,1,3,2,1,False,False,1,1,False,1,1,False,False,False,False,False,True,True,False,False,False,False,False,1,0,0,3 or more,186.8,0.0,0.0,0.0,0.0,0.718415418,0.391059957,False,True,False,True,False,0,0,0
M,BLACK,28-32,9,True,5.0,Specialized,High School Diploma,2,Violent/Non-Sex,More than 3 years,2,4,1,0,2,1,False,False,0,1,False,0,0,False,False,False,False,False,False,True,True,True,False,False,False,4 or more,10 or more,3 or more,0,21.83870968,0.032258064,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,0,0,0
M,BLACK,33-37,15,False,8.0,High,High School Diploma,3 or more,Other,1-2 years,7,6 or more,1,1,5 or more,3,False,False,2,0,False,1,2 or more,False,False,False,False,False,False,True,False,False,False,False,False,3,10 or more,0,0,16.05,0.116666667,0.0,0.0,0.016666668,1.0,0.758566978,False,False,False,False,False,0,0,1
